Seed,H1_max,H1_avg,H1_count,height_max,total_steps,stopping_time,max_value,odd_steps,max_consecutive_odds,sum_of_values,peak_ratio
231,1.0,0.4474992615836007,35,49,127,19,9232,47,1,119613.0,39.96536796536797
232,0.41421353816986084,0.41421353816986084,5,9,21,1,232,6,1,848.0,1.0
233,0.41421353816986084,0.41421353816986084,22,36,83,3,9232,30,1,96368.0,39.622317596566525
234,0.41421353816986084,0.41421353816986084,3,9,21,1,352,6,1,1292.0,1.5042735042735043
235,1.0,0.42880210280418396,36,42,127,8,9232,47,1,117091.0,39.285106382978725
236,0.41421353816986084,0.41421353816986084,6,15,34,1,304,11,1,2541.0,1.2881355932203389
237,0.41421353816986084,0.41421353816986084,8,16,34,3,712,11,1,3433.0,3.0042194092827006
238,0.41421353816986084,0.41421353816986084,5,19,34,1,808,11,1,4305.0,3.3949579831932772
239,0.41421353816986084,0.41421353816986084,11,19,52,32,9232,18,1,57866.0,38.62761506276151
240,0.41421353816986084,0.41421353816986084,3,6,21,1,240,6,1,1144.0,1.0
241,0.41421353816986084,0.41421353816986084,5,9,21,3,724,6,1,2776.0,3.004149377593361
242,1.6055512428283691,0.4618670463562012,25,36,96,1,9232,35,1,99431.0,38.14876033057851
243,0.41421353816986084,0.40256921768188475,25,39,96,6,9232,35,1,101413.0,37.991769547325106
244,0.41421353816986084,0.41421353816986084,4,7,21,1,244,6,1,1382.0,1.0
245,0.41421353816986084,0.41421353816986084,3,8,21,3,736,6,1,2304.0,3.0040816326530613
246,0.41421353816986084,0.41421353816986084,11,18,47,1,628,16,1,6636.0,2.5528455284552845
247,0.41421353816986084,0.41421353816986084,15,21,47,8,1672,16,1,10278.0,6.769230769230769
248,1.0,0.42780156930287677,30,38,109,1,9232,40,1,101538.0,37.225806451612904
249,0.41421353816986084,0.41421353816986084,10,24,47,3,952,16,1,10562.0,3.823293172690763
250,1.0,0.4269523173570633,32,39,109,1,9232,40,1,102012.0,36.928
251,0.41421353816986084,0.41421353816986084,17,32,65,44,9232,23,1,85035.0,36.78087649402391
252,0.6055512428283691,0.4119691627996939,27,38,109,1,9232,40,1,105476.0,36.63492063492063
253,0.6055512428283691,0.41204931906291414,28,39,109,3,9232,40,1,106428.0,36.4901185770751
254,0.41421353816986084,0.41421353816986084,7,22,47,1,4372,16,1,28342.0,17.212598425196852
255,0.41421353816986084,0.41421353816986084,6,21,47,21,13120,16,1,65334.0,51.450980392156865
256,0.41421353816986084,0.41421353816986084,1,5,8,1,256,1,1,511.0,1.0
257,1.0,0.4262029774048749,34,43,122,3,9232,45,1,105291.0,35.92217898832685
258,0.41421353816986084,0.40986852529572276,41,48,122,1,9232,45,1,104223.0,35.78294573643411
259,0.5857864618301392,0.42238367739177884,42,47,122,6,9232,45,1,106335.0,35.64478764478765
260,0.41421353816986084,0.41421353816986084,8,8,29,1,260,9,1,1555.0,1.0
261,0.41421353816986084,0.41421353816986084,7,10,29,3,784,9,1,2537.0,3.003831417624521
262,0.41421353816986084,0.41421353816986084,6,12,29,1,592,9,1,2629.0,2.2595419847328246
263,0.41421353816986084,0.41421353816986084,21,36,78,11,9232,28,1,94384.0,35.10266159695818
264,0.41421353816986084,0.41421353816986084,9,12,29,1,264,9,1,1303.0,1.0
265,0.6055512428283691,0.4124312400817871,34,41,122,3,9232,45,1,114207.0,34.83773584905661
266,0.41421353816986084,0.41421353816986084,8,13,29,1,400,9,1,1807.0,1.5037593984962405
267,0.41421353816986084,0.41421353816986084,4,10,21,8,1204,6,1,6378.0,4.50936329588015
268,0.41421353816986084,0.41421353816986084,5,15,29,1,304,9,1,1861.0,1.1343283582089552
269,0.41421353816986084,0.41421353816986084,5,17,29,3,808,9,1,2873.0,3.003717472118959
270,0.41421353816986084,0.41421353816986084,12,10,42,1,916,14,1,6160.0,3.3925925925925924
271,1.0,0.4724719524383545,13,13,42,11,2752,14,1,12832.0,10.154981549815497
272,0.41421353816986084,0.41421353816986084,4,7,16,1,272,4,1,724.0,1.0
273,0.41421353816986084,0.41421353816986084,5,17,29,3,820,9,1,3711.0,3.0036630036630036
274,0.41421353816986084,0.41421353816986084,23,36,91,1,9232,33,1,98431.0,33.693430656934304
275,0.41421353816986084,0.41421353816986084,24,38,91,6,9232,33,1,100673.0,33.57090909090909
276,0.41421353816986084,0.41421353816986084,3,8,16,1,276,4,1,992.0,1.0
277,0.41421353816986084,0.41421353816986084,2,10,16,3,832,4,1,2034.0,3.003610108303249
278,0.41421353816986084,0.41421353816986084,10,18,42,1,628,14,1,5156.0,2.258992805755396
279,0.41421353816986084,0.41421353816986084,7,18,42,8,1888,14,1,9268.0,6.767025089605735
280,0.41421353816986084,0.41421353816986084,3,5,16,1,280,4,1,1030.0,1.0
281,0.41421353816986084,0.41421353816986084,8,24,42,3,952,14,1,8442.0,3.3879003558718863
282,0.41421353816986084,0.41421353816986084,3,7,16,1,424,4,1,1564.0,1.50354609929078
283,0.41421353816986084,0.41421353816986084,13,32,60,39,9232,21,1,81955.0,32.62190812720848
284,1.0,0.428270122100567,29,38,104,1,9232,38,1,101216.0,32.50704225352113
285,1.0,0.4287721429552351,28,40,104,3,9232,38,1,102288.0,32.39298245614035
286,0.6055512428283691,0.4119691627996939,27,38,104,1,9232,38,1,104750.0,32.27972027972028
287,0.41421353816986084,0.41421353816986084,7,22,42,16,4372,14,1,26814.0,15.233449477351916
288,0.41421353816986084,0.41421353816986084,4,8,24,1,288,7,1,897.0,1.0
289,0.41421353816986084,0.41421353816986084,5,8,29,3,868,9,1,5743.0,3.0034602076124566
290,1.0,0.42736324571794077,31,42,117,1,9232,43,1,103103.0,31.83448275862069
291,1.0,0.42736324571794077,31,41,117,6,9232,43,1,105475.0,31.725085910652922
292,1.0,0.4249409311696103,38,44,117,1,9232,43,1,103157.0,31.616438356164384
293,0.41421353816986084,0.4091236659458705,35,46,117,3,9232,43,1,104259.0,31.50853242320819
294,1.0,0.4269523173570633,32,47,117,1,9232,43,1,104361.0,31.401360544217688
295,0.41421353816986084,0.41421353816986084,13,30,55,13,2248,19,1,21735.0,7.620338983050847
296,0.41421353816986084,0.41421353816986084,5,8,24,1,296,7,1,1053.0,1.0
297,0.41421353816986084,0.41421353816986084,15,36,73,3,9232,26,1,96808.0,31.084175084175083
